date,category,car_number,project_name,type,amount,accretion_of_mine_closure_liability,currency
2025-03-01,Exploration/Mine Geology,C487EY21001,CAPEX EXPLORACIONES,sustaining,678000,0,USD
2025-03-01,Mine Equipment,C487MY25001,Reemplazo unidad rotación Diamec 303,sustaining,7500,0,USD
2025-03-01,Mine Equipment,C487MY25004,Leaky feeder EPW,sustaining,9200,0,USD
2025-03-01,Mine Infrastructure,C487MY25005,Ventiladores de mina,sustaining,17500,0,USD
2025-03-01,Tailings Dams and Leach Pads,C487MY25006,,sustaining,33500,0,USD
2025-03-01,Plant Upgrades,C487PY25001,,sustaining,26800,0,USD
2025-03-01,Administration Projects,C487AY25002,,sustaining,6200,0,USD
2025-03-01,Community Projects,C487AY25003,,sustaining,4000,0,USD
2025-03-01,Total MPPE Additions,MPPE-TOTAL,,sustaining,782700,0,USD
2025-03-01,Sustaining MPPE Additions,MPPE-SUST,,sustaining,782700,0,USD
2025-03-01,Pre-Stripping and Capital Developments,PRE-001,,sustaining,0,0,USD
2025-03-01,Mine Equipment,C487MY25002,Estaciones de Bombeo,sustaining,0,0,USD
2025-03-01,Mine Equipment,C487MY25003,Data Infrastructure UG,sustaining,0,0,USD
2025-03-01,Right-of-Use Asset (IFRS16),IFRS16-001,,leasing,0,0,USD
2025-03-01,Project Capital,PROJ-CAP,,project,0,0,USD
2025-03-01,Leasing Addition - Project Capital,LEASE-PROJ,,leasing,0,0,USD
2025-03-01,Other,OTHER-001,,sustaining,0,0,USD
2025-03-01,Leasing Addition - Sustaining Capital,LEASE-SUST,,leasing,0,0,USD
2025-03-01,Sustaining Capital Lease Cash Outflows,LEASE-CASH,,leasing,0,0,USD
2025-03-01,IFRS16,IFRS16-SUM,,leasing,0,0,USD
